message,subject,complaint_text,intent,category
Please add Other language also.,,Please add Other language also.,Product Specific Information,PRODUCT_ISSUE
Customer executive is very polite and helpful person. He understand my isssue & solve it in short time. I am very happy with his kindness and supportive mindset.                Thank you,,Customer executive is very polite and helpful person. He understand my isssue & solve it in short time. I am very happy with his kindness and supportive mindset. Thank you,Return request,REFUND_REQUEST
"I speak with   on 2 Aug and today 3rd August with a  , don't know his name ..But both of them were quick and helpful. I like the service and the one guy who helped me today to raise a return request. Thank you ?? for hiring such good candidates. Please appreciate the one who called me on 3rd August around 12:00 .. Really appreciate his work. Though it was a small return request but it felt a delighted customer serviceSteffy",,"I speak with on 2 Aug and today 3rd August with a , don't know his name ..But both of them were quick and helpful. I like the service and the one guy who helped me today to raise a return request. Thank you ?? for hiring such good candidates. Please appreciate the one who called me on 3rd August around 12:00 .. Really appreciate his work. Though it was a small return request but it felt a delighted customer serviceSteffy",Fraudulent User,SECURITY_CONCERN
Customer support executive was not at all ready to help in any way. Not even a single way he showed that he can help. Keeps on repeating policies doesn't allow him.,,Customer support executive was not at all ready to help in any way. Not even a single way he showed that he can help. Keeps on repeating policies doesn't allow him.,Product Specific Information,PRODUCT_ISSUE
Nice taking,,Nice taking,Product Specific Information,PRODUCT_ISSUE
Nice,,Nice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Hell,,Hell,Missing,PRODUCT_ISSUE
Thanks ??,,Thanks ??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Bahut achcha,,Bahut achcha,Not Needed,REFUND_REQUEST
Excellent customer service executive behaviour and service. Thank you,,Excellent customer service executive behaviour and service. Thank you,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks ??,,Thanks ??,Refund Enquiry,REFUND_REQUEST
Better improve customer support,,Better improve customer support,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks Shopzilla,,Thanks Shopzilla,Invoice request,BILLING_PROBLEM
Good service,,Good service,Missing,PRODUCT_ISSUE
Good,,Good,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Delayed,DELIVERY_SHIPPING_PROBLEM
Thank u for solving my issues.Happy with the Shopzilla executive.Excellent job,,Thank u for solving my issues.Happy with the Shopzilla executive.Excellent job,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
??,,??,Not Needed,REFUND_REQUEST
Thank you,,Thank you,Return request,REFUND_REQUEST
Very good,,Very good,Service Centres Related,SERVICE_QUALITY
Thank you,,Thank you,Missing,PRODUCT_ISSUE
Thankyou,,Thankyou,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very bad because mu order code number not available,,Very bad because mu order code number not available,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Tnx,,Tnx,Fraudulent User,SECURITY_CONCERN
Great Experience ??,,Great Experience ??,Technician Visit,PRODUCT_ISSUE
Very good sarvice,,Very good sarvice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"Please do it, quick solved the problem for the dammeged/ poor quality products.",,"Please do it, quick solved the problem for the dammeged/ poor quality products.",Service Centres Related,SERVICE_QUALITY
Delevery late huaa,,Delevery late huaa,Return request,REFUND_REQUEST
"It is very disappointing that one product that i was buy a product from   and   told me that they don't help me about the same, then what should I do, should I go to somewhere else for the help.This is not done, i will put a case against you regarding the same.",,"It is very disappointing that one product that i was buy a product from and told me that they don't help me about the same, then what should I do, should I go to somewhere else for the help.This is not done, i will put a case against you regarding the same.",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very good behaviour,,Very good behaviour,Installation/demo,PRODUCT_ISSUE
????,,????,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"My product was not delivered to me but executive refused me forcefully that I have received my product with otp, please check my previous order history and solve my problem",,"My product was not delivered to me but executive refused me forcefully that I have received my product with otp, please check my previous order history and solve my problem",Delayed,DELIVERY_SHIPPING_PROBLEM
No thanks,,No thanks,Service Centres Related,SERVICE_QUALITY
"Very professional and polite, he addressed the issue properly.",,"Very professional and polite, he addressed the issue properly.",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
He is very polite and helpful,,He is very polite and helpful,Fraudulent User,SECURITY_CONCERN
Problem solb,,Problem solb,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Issue with the delivery executive,,Issue with the delivery executive,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Very helpfull and give sufficent time to listen my problem,,Very helpfull and give sufficent time to listen my problem,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Pay later convince fee Should not happen,,Pay later convince fee Should not happen,Invoice request,BILLING_PROBLEM
Very good,,Very good,Fraudulent User,SECURITY_CONCERN
Bed,,Bed,Delayed,DELIVERY_SHIPPING_PROBLEM
Customer support good and good behavior,,Customer support good and good behavior,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Costumes caer easy solve my problem,,Costumes caer easy solve my problem,Return request,REFUND_REQUEST
Best,,Best,Instant discount,PAYMENT_TRANSACTION_ISSUE
Thanku,,Thanku,Invoice request,BILLING_PROBLEM
ok,,ok,Product Specific Information,PRODUCT_ISSUE
Waiting for help to get package delivered from your courier partner,,Waiting for help to get package delivered from your courier partner,Delayed,DELIVERY_SHIPPING_PROBLEM
"Issue regarding order is pending since nearly 2 months of complaining and raising the issue. Status of product is not being updated, product is delivered but invoice not received due to non updation of status. Kindly resolve",,"Issue regarding order is pending since nearly 2 months of complaining and raising the issue. Status of product is not being updated, product is delivered but invoice not received due to non updation of status. Kindly resolve",Delayed,DELIVERY_SHIPPING_PROBLEM
Pls help me,,Pls help me,Fraudulent User,SECURITY_CONCERN
Brand tag issue my product,,Brand tag issue my product,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Shopzilla customer care fully helpfull,,Shopzilla customer care fully helpfull,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Not happy with the customer service,,Not happy with the customer service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Happy,,Happy,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
????? ???? ??? ??????? ?? ???? ???? ?? ?????? ?????? ?? ??,,????? ???? ??? ??????? ?? ???? ???? ?? ?????? ?????? ?? ??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Happy,,Happy,Product Specific Information,PRODUCT_ISSUE
Very good??????,,Very good??????,Missing,PRODUCT_ISSUE
Best,,Best,UnProfessional Behaviour,SERVICE_QUALITY
No,,No,Payment related Queries,PAYMENT_TRANSACTION_ISSUE
Super service nice ??????,,Super service nice ??????,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
This how Shopzilla response to us like I have problem with my product and I am leaving to abroad and no one is solving my problem,,This how Shopzilla response to us like I have problem with my product and I am leaving to abroad and no one is solving my problem,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Return my order,,Return my order,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
care tell me to provide oppo care center no. In mail but they only know about feedback for   support i can't find the right informationMy concern is ( i had perchase an bluetooth from Shopzilla named oppo enco m32 which has a warranty of 1year the bluetooth does not working its right side tuttor that why I want to know the process of returning or take the warranty of product.) But their is no help for me by your side plss help me with concern,,care tell me to provide oppo care center no. In mail but they only know about feedback for support i can't find the right informationMy concern is ( i had perchase an bluetooth from Shopzilla named oppo enco m32 which has a warranty of 1year the bluetooth does not working its right side tuttor that why I want to know the process of returning or take the warranty of product.) But their is no help for me by your side plss help me with concern,Installation/demo,PRODUCT_ISSUE
Thank you for contacting me and kind enough to address customer issue,,Thank you for contacting me and kind enough to address customer issue,Delayed,DELIVERY_SHIPPING_PROBLEM
"Need to add the point in mobile  . When people pay extra amount while some mobile testing fail, they not get any kind of receipt or invoice on mail. If someone pay extra on exchange,they must receive the information by Shopzilla.",,"Need to add the point in mobile . When people pay extra amount while some mobile testing fail, they not get any kind of receipt or invoice on mail. If someone pay extra on exchange,they must receive the information by Shopzilla.",Exchange / Replacement,PRODUCT_ISSUE
Solved my issue,,Solved my issue,Delayed,DELIVERY_SHIPPING_PROBLEM
Very good,,Very good,Wrong,PRODUCT_ISSUE
Nice conversation from support team. Thanks alot for your help.,,Nice conversation from support team. Thanks alot for your help.,Refund Enquiry,REFUND_REQUEST
Nice help keep it up,,Nice help keep it up,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
The rep was very friendly. I hope they'll come on Saturday??,,The rep was very friendly. I hope they'll come on Saturday??,Exchange / Replacement,PRODUCT_ISSUE
???? ??? ??? ??? ?? ????,,???? ??? ??? ??? ?? ????,Service Centres Related,SERVICE_QUALITY
Good,,Good,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Product missing related complaint option provide on app.,,Product missing related complaint option provide on app.,Fraudulent User,SECURITY_CONCERN
good customer care support,,good customer care support,Return request,REFUND_REQUEST
Customer support is good,,Customer support is good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
So sad about your deliver policy,,So sad about your deliver policy,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
The customer executive was very nice and humble ??.. he resolved my issue within a few minutes.. His way of communication was very nice..He listened to my issue with full patience..I would like to wish him good luck for his future...and Shopzilla if don't mind i want to say that try to make him always ( customer Executive)happy always ??Bbyeeeee Thanks Shopzilla ??,,The customer executive was very nice and humble ??.. he resolved my issue within a few minutes.. His way of communication was very nice..He listened to my issue with full patience..I would like to wish him good luck for his future...and Shopzilla if don't mind i want to say that try to make him always ( customer Executive)happy always ??Bbyeeeee Thanks Shopzilla ??,Refund Enquiry,REFUND_REQUEST
Happy,,Happy,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"If not return, an exchange offer must be there for any order. And a verification and of the seller and quality check must be done before let them sell things. Many of us are having issues of getting wrong or less products on Shopzilla. It needs to be checked and those sellers who are sending wrong products to the customers, should be banned from here. People are loosing trust of Shopzilla. Do something about it we move on to something else. Thank you",,"If not return, an exchange offer must be there for any order. And a verification and of the seller and quality check must be done before let them sell things. Many of us are having issues of getting wrong or less products on Shopzilla. It needs to be checked and those sellers who are sending wrong products to the customers, should be banned from here. People are loosing trust of Shopzilla. Do something about it we move on to something else. Thank you",Product Specific Information,PRODUCT_ISSUE
Thanks,,Thanks,Fraudulent User,SECURITY_CONCERN
"Make sure when agent call, their voice could be heard without echo.",,"Make sure when agent call, their voice could be heard without echo.",Shopzila Premium Related,SUBSCRIPTION_ISSUE
Good,,Good,Fraudulent User,SECURITY_CONCERN
I have had the worst experience with Shopzilla,,I have had the worst experience with Shopzilla,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,General Enquiry,OTHER
"Customer support executive not help to resolve buyers product problem, they make only time pass of buyer and after few days to cancelled return and refund request of buyers. My damaged product price was rs. 2999/-i got loss of rs 2999 because of no proper support team. They only lie only with buyer and request for good feedback from buyers before resolve the issue",,"Customer support executive not help to resolve buyers product problem, they make only time pass of buyer and after few days to cancelled return and refund request of buyers. My damaged product price was rs. 2999/-i got loss of rs 2999 because of no proper support team. They only lie only with buyer and request for good feedback from buyers before resolve the issue",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
It was awesome,,It was awesome,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
No,,No,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very disappointed with the seller and the product...this is a kind of unfair demonstration and cheating.,,Very disappointed with the seller and the product...this is a kind of unfair demonstration and cheating.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good information from Shopzilla customer service.Thank you,,Good information from Shopzilla customer service.Thank you,General Enquiry,OTHER
Good,,Good,Life Insurance,SUBSCRIPTION_ISSUE
Very good,,Very good,Refund Enquiry,REFUND_REQUEST
The delivery boy's way of talking is not good but felt a Little better talking to the customer service person,,The delivery boy's way of talking is not good but felt a Little better talking to the customer service person,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
"U should work harder in delivering the products on time, because it frustrates customer like me.",,"U should work harder in delivering the products on time, because it frustrates customer like me.",Delayed,DELIVERY_SHIPPING_PROBLEM
"They still did,t solve my issue",,"They still did,t solve my issue",Signup Issues,ACCOUNT_LOGIN_PROBLEM
Refund my 100 rs,,Refund my 100 rs,Refund Enquiry,REFUND_REQUEST
Very supportive,,Very supportive,Refund Related Issues,REFUND_REQUEST
Thank you,,Thank you,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Yes,,Yes,Fraudulent User,SECURITY_CONCERN
Best,,Best,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Ms deepa call disconnected. Not complete my sentence very mis behaviour.,,Ms deepa call disconnected. Not complete my sentence very mis behaviour.,Delayed,DELIVERY_SHIPPING_PROBLEM
Good one,,Good one,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
You have give better service and flexible your rull,,You have give better service and flexible your rull,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Some time product\u2019s companies not responding  than Shopzilla take to respond on it,,Some time product\u2019s companies not responding than Shopzilla take to respond on it,Service Centres Related,SERVICE_QUALITY
All is well.,,All is well.,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
My problem regarding change of delivery address not,,My problem regarding change of delivery address not,Customer Requested Modifications,DELIVERY_SHIPPING_PROBLEM
Pron no solve,,Pron no solve,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Sort time regulations,,Sort time regulations,Return request,REFUND_REQUEST
My issue is not resolving from last 12 days,,My issue is not resolving from last 12 days,Refund Related Issues,REFUND_REQUEST
Nyc talking way,,Nyc talking way,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks you Shopzilla exicutive for solving my problem,,Thanks you Shopzilla exicutive for solving my problem,Product Specific Information,PRODUCT_ISSUE
Excutive very helpfull,,Excutive very helpfull,UnProfessional Behaviour,SERVICE_QUALITY
"It was an awesome experience, glad to talk to you... Its my pleasure ??",,"It was an awesome experience, glad to talk to you... Its my pleasure ??",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Best adviser,,Best adviser,General Enquiry,OTHER
Good behaviour,,Good behaviour,Exchange / Replacement,PRODUCT_ISSUE
Good,,Good,Product Specific Information,PRODUCT_ISSUE
Very nice,,Very nice,Return request,REFUND_REQUEST
Good person,,Good person,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"If due to the mistake of your people, there is no product and the customer is troubled, then it is your duty to help him.",,"If due to the mistake of your people, there is no product and the customer is troubled, then it is your duty to help him.",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Why does it take 5 phone calls to refund an order that has not been delivered and your courier has misplaced or damaged.,,Why does it take 5 phone calls to refund an order that has not been delivered and your courier has misplaced or damaged.,Not Needed,REFUND_REQUEST
Good,,Good,Return request,REFUND_REQUEST
Customer service is very good. But kindly grocery items carefully delivered to the customers.,,Customer service is very good. But kindly grocery items carefully delivered to the customers.,Fraudulent User,SECURITY_CONCERN
THANK YOU ?? VARY MACH SIR,,THANK YOU ?? VARY MACH SIR,Return request,REFUND_REQUEST
Very nic,,Very nic,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Once purchase the goods no one can can't give the warranty service,,Once purchase the goods no one can can't give the warranty service,Installation/demo,PRODUCT_ISSUE
I am appreciated for you customers ??,,I am appreciated for you customers ??,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
One Assist Protection plan's Invoice not available on Shopzilla.,,One Assist Protection plan's Invoice not available on Shopzilla.,Installation/demo,PRODUCT_ISSUE
Excellent,,Excellent,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Invoice request,BILLING_PROBLEM
Still return pickup did not completed.,,Still return pickup did not completed.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,Wrong,PRODUCT_ISSUE
No thanks,,No thanks,Signup Issues,ACCOUNT_LOGIN_PROBLEM
It's a good talk between me & her,,It's a good talk between me & her,Not Needed,REFUND_REQUEST
The call suddenly got muted during the conversation but I was on the Line. Customer Support Executive didn't call again after hangup,,The call suddenly got muted during the conversation but I was on the Line. Customer Support Executive didn't call again after hangup,Delayed,DELIVERY_SHIPPING_PROBLEM
Bahut sunder,,Bahut sunder,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Hamen aapse baat karne mein bahut hi Anand aaya aur bahut hi achcha,,Hamen aapse baat karne mein bahut hi Anand aaya aur bahut hi achcha,UnProfessional Behaviour,SERVICE_QUALITY
The consultant response was so polite,,The consultant response was so polite,Refund Related Issues,REFUND_REQUEST
Yesterday you told me to give me 5% compensation but today you are telling me that there is no such information mentioned in our system,,Yesterday you told me to give me 5% compensation but today you are telling me that there is no such information mentioned in our system,Damaged,PRODUCT_ISSUE
Great work,,Great work,Refund Related Issues,REFUND_REQUEST
That person was so rude and didn't even understand English properly you guys need to monitor his more calls and need to ensure that get good Cx service on escalation desk as well...Talking abt the girl i spoke too she just did the complaint on the acc and nothing else and as per the escalation desk that senior dont even has the rights of senior,,That person was so rude and didn't even understand English properly you guys need to monitor his more calls and need to ensure that get good Cx service on escalation desk as well...Talking abt the girl i spoke too she just did the complaint on the acc and nothing else and as per the escalation desk that senior dont even has the rights of senior,Delayed,DELIVERY_SHIPPING_PROBLEM
Thanks Shopzilla,,Thanks Shopzilla,Product Specific Information,PRODUCT_ISSUE
Good,,Good,General Enquiry,OTHER
???? ???????? ?? ????? ??? ???????? ??? ?? ??? ?? ????? ???? ?? ?? ??? ?? ????? ?????????? ?????? ???? ?? ??? ?? ???????? ???? ????? ?? ???? ??? ?? ???? ?? ???? ?????? ?? ?????? ???? ?? ?????? ?? ???? ???? ????? ???,,???? ???????? ?? ????? ??? ???????? ??? ?? ??? ?? ????? ???? ?? ?? ??? ?? ????? ?????????? ?????? ???? ?? ??? ?? ???????? ???? ????? ?? ???? ??? ?? ???? ?? ???? ?????? ?? ?????? ???? ?? ?????? ?? ???? ???? ????? ???,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Please don't delevery charge any product in my area...,,Please don't delevery charge any product in my area...,Refund Enquiry,REFUND_REQUEST
Very good,,Very good,Delayed,DELIVERY_SHIPPING_PROBLEM
Thank you to a Shopzilla CSA from an SuperBuy CSA,,Thank you to a Shopzilla CSA from an SuperBuy CSA,General Enquiry,OTHER
Thank you so much for understanding my issue and support me,,Thank you so much for understanding my issue and support me,Technician Visit,PRODUCT_ISSUE
I'm Vengeance,,I'm Vengeance,Wrong,PRODUCT_ISSUE
Shopzilla all sarvice are good ??,,Shopzilla all sarvice are good ??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
???? ??? ???? ???? ????? ???,,???? ??? ???? ???? ????? ???,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nice  sir,,Nice sir,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
So happy,,So happy,Product Specific Information,PRODUCT_ISSUE
Please try to decrease the time to resolve simple issues.,,Please try to decrease the time to resolve simple issues.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Make some rules and regulations for sellers or give money for every day of delay in delivery........,,Make some rules and regulations for sellers or give money for every day of delay in delivery........,Delayed,DELIVERY_SHIPPING_PROBLEM
"It's very good experience to   policy,I'm very satisfied to our   team coperat,yes I'm very happy to our   policy's thank you team   ??",,"It's very good experience to policy,I'm very satisfied to our team coperat,yes I'm very happy to our policy's thank you team ??",Return request,REFUND_REQUEST
Behaving is good,,Behaving is good,Priority delivery,DELIVERY_SHIPPING_PROBLEM
No,,No,Delayed,DELIVERY_SHIPPING_PROBLEM
very nice,,very nice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
My issue is still not resolved. I asked to share information about the product's customer support and I'm still waiting.,,My issue is still not resolved. I asked to share information about the product's customer support and I'm still waiting.,Installation/demo,PRODUCT_ISSUE
bad costumer support,,bad costumer support,Card/EMI,PAYMENT_TRANSACTION_ISSUE
Very good explanation,,Very good explanation,Wrong,PRODUCT_ISSUE
Thanks for your help,,Thanks for your help,Return request,REFUND_REQUEST
Reaching customers support to Shopzilla is becoming very difficult,,Reaching customers support to Shopzilla is becoming very difficult,Signup Issues,ACCOUNT_LOGIN_PROBLEM
Train delivery executive well to not give any wrong information,,Train delivery executive well to not give any wrong information,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Customer service is fabulous and impressive.,,Customer service is fabulous and impressive.,Return request,REFUND_REQUEST
Had a quick and efficient resolution,,Had a quick and efficient resolution,Refund Related Issues,REFUND_REQUEST
Resolve my issue as soon as possible,,Resolve my issue as soon as possible,Installation/demo,PRODUCT_ISSUE
All good,,All good,Installation/demo,PRODUCT_ISSUE
Good,,Good,Service Centres Related,SERVICE_QUALITY
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
There was an excellent experience communicate with the consultant and I'm assuming that my issues will be resolved soon.,,There was an excellent experience communicate with the consultant and I'm assuming that my issues will be resolved soon.,Other Cashback,PAYMENT_TRANSACTION_ISSUE
Thank you,,Thank you,Fraudulent User,SECURITY_CONCERN
Good conversation great experience,,Good conversation great experience,Product related Issues,PRODUCT_ISSUE
Happy,,Happy,Service Centres Related,SERVICE_QUALITY
5,,5,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Please make your payment policies more flexible and allow online payment as part payment along with cash on delivery.,,Please make your payment policies more flexible and allow online payment as part payment along with cash on delivery.,Product Specific Information,PRODUCT_ISSUE
Thank you,,Thank you,Installation/demo,PRODUCT_ISSUE
Very good services,,Very good services,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Missing,PRODUCT_ISSUE
Delivery agents are very unprofessional..try to resolve the issue..,,Delivery agents are very unprofessional..try to resolve the issue..,Delayed,DELIVERY_SHIPPING_PROBLEM
Thank you sir ????,,Thank you sir ????,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Product Specific Information,PRODUCT_ISSUE
"Event Registration Confirmed

You’re registered for our 6/1 seminar. Details in calendar.",Event Registration Confirmed,Event Registration Confirmed Event Registration Confirmed You’re registered for our 6/1 seminar. Details in calendar.,Transactional,OTHER
"Customer support is very good,I like it",,"Customer support is very good,I like it",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Installation time,,Installation time,Installation/demo,PRODUCT_ISSUE
Good ????,,Good ????,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Almost good but the date not told to me,,Almost good but the date not told to me,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Very nice and very good sarvesh thanks ??,,Very nice and very good sarvesh thanks ??,Return request,REFUND_REQUEST
Good,,Good,Fraudulent User,SECURITY_CONCERN
Nice,,Nice,Refund Enquiry,REFUND_REQUEST
Doesn't talk properly and doesn't even give information,,Doesn't talk properly and doesn't even give information,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"Delivery boy's all excuses verify mandatory,With screen shot.",,"Delivery boy's all excuses verify mandatory,With screen shot.",Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Costumes care  ne misslead kiya Galat jankari diya,,Costumes care ne misslead kiya Galat jankari diya,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
My issue is not yet resolved. The request was to cancel the order of the mattress. Still it闁肩儤甯￠崺妞ゆ垼妫勬俊绌 not cancelled unlike mentioned by the executive,,My issue is not yet resolved. The request was to cancel the order of the mattress. Still it闁肩儤甯¢崺妞ゆ垼妫勬俊绌 not cancelled unlike mentioned by the executive,Not Needed,REFUND_REQUEST
Delivery partner response is not good they speak very arrogantly,,Delivery partner response is not good they speak very arrogantly,UnProfessional Behaviour,SERVICE_QUALITY
Good,,Good,Missing,PRODUCT_ISSUE
Well person,,Well person,Instant discount,PAYMENT_TRANSACTION_ISSUE
Raised a complaint and then it was not resolved,,Raised a complaint and then it was not resolved,Fraudulent User,SECURITY_CONCERN
Ok,,Ok,Delayed,DELIVERY_SHIPPING_PROBLEM
"The product should not be delivered somewhere else except in the hands of the owner,thank you",,"The product should not be delivered somewhere else except in the hands of the owner,thank you",Delayed,DELIVERY_SHIPPING_PROBLEM
Very good,,Very good,Fraudulent User,SECURITY_CONCERN
Please be particular abot deliveries... customer also plans accordingly and orders,,Please be particular abot deliveries... customer also plans accordingly and orders,Delayed,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good ????????????,,Good ????????????,Product Specific Information,PRODUCT_ISSUE
Fake order delivered I can not advice to buy any product this site,,Fake order delivered I can not advice to buy any product this site,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
The PDF invoice can't be open.,,The PDF invoice can't be open.,Invoice request,BILLING_PROBLEM
was superstar,,was superstar,Damaged,PRODUCT_ISSUE
Nice employee,,Nice employee,General Enquiry,OTHER
???????,,???????,Wrong,PRODUCT_ISSUE
Good,,Good,Wallet related,PAYMENT_TRANSACTION_ISSUE
Thank's Shopzilla customer care,,Thank's Shopzilla customer care,Wrong,PRODUCT_ISSUE
Nice talker query is resolved,,Nice talker query is resolved,Product Specific Information,PRODUCT_ISSUE
Good Behaviour,,Good Behaviour,Installation/demo,PRODUCT_ISSUE
SupR,,SupR,Delayed,DELIVERY_SHIPPING_PROBLEM
Very nice customer care support thank you Shopzilla,,Very nice customer care support thank you Shopzilla,Return request,REFUND_REQUEST
Thank you so much for Shopzilla costomer service,,Thank you so much for Shopzilla costomer service,Invoice request,BILLING_PROBLEM
Worst worst??????????????experience,,Worst worst??????????????experience,Technician Visit,PRODUCT_ISSUE
It's already 20 days from I raise a complain.But still It's not solved.,,It's already 20 days from I raise a complain.But still It's not solved.,Affiliate Offers,OTHER
Gajab,,Gajab,Invoice request,BILLING_PROBLEM
Delivery are very delayed ???? pls deliver in time,,Delivery are very delayed ???? pls deliver in time,Delayed,DELIVERY_SHIPPING_PROBLEM
Thx,,Thx,Wrong,PRODUCT_ISSUE
Very nice customer support and guide,,Very nice customer support and guide,Product Specific Information,PRODUCT_ISSUE
Good,,Good,Installation/demo,PRODUCT_ISSUE
My issue is not resolved kindly resolve my issue,,My issue is not resolved kindly resolve my issue,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Customer support to thik hai but Shopzilla ka function hi   ??,,Customer support to thik hai but Shopzilla ka function hi ??,Refund Enquiry,REFUND_REQUEST
Third class service of Shopzilla in the word,,Third class service of Shopzilla in the word,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thank you.,,Thank you.,Installation/demo,PRODUCT_ISSUE
Nice experience and helpful person,,Nice experience and helpful person,Fraudulent User,SECURITY_CONCERN
Very poor,,Very poor,UnProfessional Behaviour,SERVICE_QUALITY
good for resolve the problem,,good for resolve the problem,Missing,PRODUCT_ISSUE
I feel better ????Thnx Taniya madam ????,,I feel better ????Thnx Taniya madam ????,Refund Enquiry,REFUND_REQUEST
Got cheated by Shopzilla.,,Got cheated by Shopzilla.,Delayed,DELIVERY_SHIPPING_PROBLEM
